lens_id,title,abstract_text,claims_text
114-350-353-706-003,"Novel dual-targeted protein specifically binding to DLL4 and VEGF, and use thereof",The present invention relates to a dual-targeted protein comprising: a novel protein specifically binding to delta like ligand 4 (DLL4); and an antibody specifically binding to a vascular endothelial cell growth factor (VEGF).,"[CLAIMS] [Claim 1] A dual-targeting protein comprising: a protein specifically binding to DLL4, which recognizes a conformational epitope of DLL4 comprising amino acid residues 58th to 65th amino acid sequences and 110th to 115th amino acid sequences in amino acid sequences of DLL4 protein represented by SEQ ID NO:21, and an antibody specifically binding to VEGF(Vascular endothelial growth factor). [Claim 2] The dual-targeting protein of claim 1, wherein the protein specifically binding to DLL4 comprising: a heavy chain variable region comprising heavy chain CDR1 having an amino acid sequence represented by SEQ ID NO:2, heavy chain CDR2 having an amino acid sequence represented by SEQ ID NO:3, and heavy chain CDR3 having an amino acid sequence represented by SEQ ID NO:4, and a light chain variable region comprising light chain CDR1 having an amino acid sequence represented by SEQ ID NO:5, light chain CDR2 having an amino acid sequence represented by SEQ ID NO:6, and light chain CDR3 having an amino acid sequence represented by SEQ ID NO:7. [Claim 3] The dual-targeting protein of claim 1, wherein the double-targeting protein is a form in which the protein that binds specifically to DLL4 and the IgG (immunoglobulin G)-type antibody that binds specifically to VEGF are connected to each other by a linker. [Claim 4] The dual-targeting protein of claim 3, wherein the linker is a peptidyl linker or a non-peptide linker. [Claim 5] The dual-targeting protein of claim 4, wherein the peptide linker has an amino acid sequence represented by SEQ ID NO: 18. [Claim 6] The dual-targeting protein of claim 1, wherein the protein binding specifically to DLL4 comprise a heavy-chain amino acid sequence represented by SEQ ID NO: 8 and a light-chain amino acid sequence represented by SEQ ID NO: 9. [Claim 7] The dual-targeting protein of claim 1, wherein the antibody specifically binding to VEGF comprising: a heavy chain variable region comprising heavy chain CDR1 having an amino acid sequence represented by SEQ ID NO: 10, heavy chain CDR2 having an amino acid sequence represented by SEQ ID NO: 11, and heavy chain CDR3 having an amino acid sequence represented by SEQ ID NO: 12, and a light chain variable region comprising light chain CDR1 having an amino acid sequence represented by SEQ ID NO: 13, light chain CDR2 having an amino acid sequence represented by SEQ ID NO: 14, and light chain CDR3 having an amino acid sequence represented by SEQ ID NO: 15. [Claim 8] The dual-targeting protein of claim 1, wherein the antibody specifically binding to VEGF comprising a heavy chain variable region having an amino acid sequence represented by SEQ ID NO: 16 and a a light chain variable region having an amino acid sequence represented by SEQ ID NO: 17. [Claim 9] The dual-targeting protein of claim 8, wherein the antibody binding specifically to VEGF is Bevacizumab. [Claim 10] The dual-targeting protein of claim 1, wherein the dual-targeting protein comprises a heavy chain variable region having an amino acid sequence represented by SEQ ID NO:l and a light chain variable region having an amino acid sequence represented by SEQ ID NO:20. [Claim 11] The dual-targeting protein of claim 1, wherein the protein binding specifically to DLL4 is in the form of full-length antibodies, Fab', F(ab')2, Fab, Fv, rlgG, or scFv(Single-chain variable fragment). [Claim 12] A polynucleotide encoding the dual-targeting protein of any one of claims 1 to 11. [Claim 13] An expression vector comprising the polynucleotide of claim 12. [Claim 14] A transformant introduced with the expression vector of claim 13. [Claim 15] A method for producing a dual-targeting protein comprising a protein that binds specifically to DFF4 and an antibody that binds specifically to VEGF (vascular endothelial growth factor), the method comprising the steps of: (a) culturing the transformant according to claim 14 to produce a dual-targeting protein; and (b) recovering the dual-targeting protein produced in step (a). [Claim 16] A composition comprising the dual-targeting protein of any one of claims 1 to 11. [Claim 17] A pharmaceutical composition for treating cancer, which comprises the dualtargeting protein of any one of claims 1 to 11. [Claim 18] The pharmaceutical composition of claim 17, wherein the cancer is selected from the group consisting of esophageal cancer, stomach cancer, large intestine cancer, rectal cancer, oral cancer, pharynx cancer, larynx cancer, lung cancer, colon cancer, breast cancer, uterine cervical cancer, endometrial cancer, ovarian cancer, prostate cancer, testis cancer, bladder cancer, renal cancer, liver cancer, pancreatic cancer, bone cancer, connective tissue cancer, skin cancer, brain cancer, thyroid cancer, leukemia, Hodgkin's disease, lymphoma, and multiple myeloid blood cancer. [Claim 19] A composition for diagnosing cancer, which comprises the dual-targeting protein of any one of claims 1 to 11. [Claim 20] A method for diagnosing cancer, comprising the steps of: (a) measuring the level of VEGF or DLL4 protein in a sample, isolated from a subject suspected of having cancer, using the dual-targeting protein of any one of claims 1 to 11; and (b) determining that the subject has cancer, if the level of VEGF or DLL4 protein measured in step (a) is higher than that in a normal control sample. [Claim 21] A conformational epitope of DLL4 comprising amino acid residues 58th to 65th and 110th to 115th in the amino acid sequence of a DLL4 (delta-like ligand 4) protein represented by SEQ ID NO: 21. [Claim 22] A monoclonal antibody binding specifically to DLL4, which recognizes the conformational epitope of claim 21. [Claim 23] A polynucleotide encoding the monoclonal antibody of claim 22. [Claim 24] An expression vector comprising the polynucleotide of claim 23. [Claim 25] A transformant introduced with the expression vector of claim 24. [Claim 26] A method for treating cancer, which comprises a step of administering the dualtargeting protein of any one of claims 1 to 11 to a subject suspected of having cancer."
125-709-615-840-999,NOVEL MONOCLONAL ANTIBODY BINDING SPECIFICALLY TO DLL4 AND USE THEREOF,,"1. A monoclonal antibody that binds specifically to human delta-like ligand 4 (DLL4) to inhibit an interaction between human delta-like ligand 4 (DLL4) and Notch receptor. 2. The monoclonal antibody of claim 1, wherein the monoclonal antibody comprises a heavy chain variable region comprising a heavy chain CDR1 set forth in SEQ ID NO: 2; a heavy chain CDR2 set forth in SEQ ID NO: 3; and a heavy chain CDR3 set forth in SEQ ID NO: 4, and a light chain variable region comprising a light chain CDR1 set forth in SEQ ID NO: 16, a light chain CDR2 set forth in SEQ ID NO: 17, and a light chain CDR3 set forth in SEQ ID NO: 18. 3. The monoclonal antibody of claim 2, wherein the monoclonal antibody comprises an amino acid sequence of a heavy chain variable region set forth in SEQ ID NO: 1 and an amino acid sequence of a light chain variable region set forth in SEQ ID NO: 15. 4. The monoclonal antibody of claim 1, wherein the monoclonal antibody comprises a heavy chain variable region comprising a heavy chain CDR1 set forth in SEQ ID NO: 2; a heavy chain CDR2 set forth in SEQ ID NO: 6; and a heavy chain CDR3 set forth in SEQ ID NO: 7, and a light chain variable region comprising a light chain CDR1 set forth in SEQ ID NO: 20; a light chain CDR2 set forth in SEQ ID NO: 21; and a light chain CDR3 set forth in SEQ ID NO: 22. 5. The monoclonal antibody of claim 4, wherein the monoclonal antibody comprises an amino acid sequence of heavy chain variable region set forth in SEQ ID NO: 5 and an amino acid sequence of light chain variable region set forth in SEQ ID NO: 19. 6. The monoclonal antibody of claim 1, wherein the monoclonal antibody comprises a heavy chain variable region comprising a heavy chain CDR1 set forth in SEQ ID NO: 2; a heavy chain CDR2 set forth in SEQ ID NO: 9; and a heavy chain CDR3 set forth in SEQ ID NO: 10, and a light chain variable region comprising a light chain CDR1 set forth in SEQ ID NO: 24; a light chain CDR2 set forth in SEQ ID NO: 25; and a light chain CDR3 set forth in SEQ ID NO: 26. 7. The monoclonal antibody of claim 6, wherein the monoclonal antibody comprises an amino acid sequence of heavy chain variable region set forth in SEQ ID NO: 8 and an amino acid sequence of light chain variable region set forth in SEQ ID NO: 23. 8. The monoclonal antibody of claim 1, wherein the monoclonal antibody comprises a heavy chain variable region comprising a heavy chain CDR1 set forth in SEQ ID NO: 12; a heavy chain CDR2 set forth in SEQ ID NO: 13; and a heavy chain CDR3 set forth in SEQ ID NO: 14, and a light chain variable region comprising a light chain CDR1 set forth in SEQ ID NO: 28; a light chain CDR2 set forth in SEQ ID NO: 29; and a light chain CDR3 set forth in SEQ ID NO: 30. 9. The monoclonal antibody of claim 8, wherein the monoclonal antibody comprises an amino acid sequence of heavy chain variable region set forth in SEQ ID NO: 11 and an amino acid sequence of light chain variable region set forth in SEQ ID NO: 27. 10. A polynucleotide encoding the monoclonal antibody of any one of claims 1 to 9. 11. An expression vector comprising the polynucleotide of claim 10. 12. A transformant introduced with the expression vector of claim 11. 13. A method for preparing a monoclonal antibody that binds specifically to human delta-like ligand 4 (DLL4) to inhibit an interaction between human delta-like ligand 4 (DLL4) and Notch receptor, the method comprising expressing the expression vector of claim 11. 14. A pharmaceutical composition for preventing or treating cancer, comprising the monoclonal antibody of any one of claims 1 to 9. 15. The pharmaceutical composition of claim 14, wherein the cancer is selected from the group consisting of esophageal cancer, stomach cancer, colorectal cancer, rectal cancer, oral cancer, pharyngeal cancer, laryngeal cancer, lung cancer, colon cancer, breast cancer, cervical cancer, endometrial cancer, ovarian cancer, prostate cancer, testicular cancer, bladder cancer, renal caner, liver cancer, pancreatic cancer, bone cancer, connective tissue cancer, skin cancer, brain cancer, thyroid cancer, leukemia, Hodgkin's disease, lymphoma and multiple myeloma blood cancer. 16. A method for treating cancer, comprising administering the monoclonal antibody of any one of claims 1 to 9 to a subject suspected of having cancer. 17. A composition for diagnosing cancer, comprising the monoclonal antibody of any one of claims 1 to 9. 18. A method for diagnosing cancer, comprising detecting delta-like ligand 4 (DLL4) protein in a biological sample isolated from a subject suspected of having cancer through an antigen-antibody reaction using the monoclonal antibody of any one of claims 1 to 9. 19. A pharmaceutical composition for preventing or treating autoimmune disease, comprising the monoclonal antibody of any one of claims 1 to 9. 20. The pharmaceutical composition of claim 19, wherein the autoimmune disease is selected from the group consisting of rheumatoid arthritis, systemic sclerosis, systemic Lupus erythematosus, atopic dermatitis, psoriasis, alopecia areata, asthma, Crohn's disease, Behcet's disease, Sjogren's syndrome, Gillaine-Barre syndrome, chronic thyroiditis, multiple sclerosis,polymyositis, ankylosing spondylitis, encephalomyelitis, fibrositis, and polyarteritis nodosa. 21. A method for treating autoimmune disease, comprising administering the monoclonal antibody of any one of claims 1 to 9 to a subject suspected of having autoimmune disease."
030-991-883-479-308,ANTIBODY-DRUG CONJUGATE HAVING IMPROVED STABILITY AND USE THEREOF,"The present invention relates to an antibody-drug conjugate comprising a drug conjugated to an antibody, a preparation method thereof and the use thereof.","1. An antibody-drug conjugate comprising a cytotoxic drug conjugated to the N-terminal amino acid residue of the heavy chain or light chain of an antibody. 2. The antibody-drug conjugate of claim 1, wherein the cytotoxic drug is conjugated to the N-terminal _-amine group of the heavy chain or light chain of the antibody. 3. The antibody-drug conjugate of claim 2, wherein the cytotoxic drug is conjugated to the antibody by a reactive group of the cytotoxic drug, which is capable of crosslinking with the _-amine group. 4. The antibody-drug conjugate of claim 3, wherein the reactive group capable of crosslinking with the _-amine group is selected from the group consisting of isothiocyanate, isocyanate, acyl azide, NHS ester, sulfonyl chloride, aldehyde, glyoxal, epoxide, oxirane, carbonate, aryl halide, imidoester, carbodiimide, anhydride, and fluorophenyl ester. 5. The antibody-drug conjugate of claim 1, wherein the antibody includes full-length antibodies or antibody fragments containing antigen binding domains. 6. The antibody-drug conjugate of claim 5, wherein the antibody is selected from the group consisting of IgG, scFv, Fv, Fab, Fab_, and F(ab_)2. 7. The antibody-drug conjugate of claim 1, wherein the cytotoxic drug is selected from the group consisting of microtubule structure formation inhibitors, meiosis inhibitors, RNA polymerase inhibitors, topoisomerase inhibitors, DNA intercalators, DNA alkylators, ribosome inhibitors, radioisotopes, and toxins. 8. The antibody-drug conjugate of claim 7, wherein the cytotoxic drug is selected from the group consisting of maytansinoid, auristatin, dolastatin, tubulysin, calicheamicin, pyrrolobenzodiazepines, doxorubicin, duocamycin, carboplatin(paraplatin), cisplatin, cyclophosphamide, ifosfamide, nidran, nitrogen mustard(mechlorethamine HCL), bleomycin, mitomycin C, cytarabine, fluorouracil, gemcitabine, trimetrexate, methotrexate, etoposide, vinblastine, vinorelbine, alimta, altretamine, procarbazine, taxol, taxotere, topotecan, irinotecan, trichothecene, CC1065, alpha-amanitin, other enediyne antibiotics, exotoxin, and plant toxin. 9. The antibody-drug conjugate of claim 8, wherein the auristatin is monomethyl auristatin E or monomethyl auristatin F. 10. The antibody-drug conjugate of claim 1, wherein the antibody binds specifically to a cancer cell surface antigen. 11. The antibody-drug conjugate of claim 10, wherein the cancer cell surface antigen is selected from the group consisting of CD19, CD20, CD30, CD33, CD37, CD22, CD56, CD70, CD74, CD138, Muc-16, mesothelin, HER2, HER3, GPNMB(glycoprotein NMB), IGF-1R, BCMA (B cell maturation antigen), PSMA (prostate-specific membrane antigen), EpCAM (Epithelial cell adhesion molecule), and EGFR (epidermal growth factor receptor). 12. The antibody-drug conjugate of claim 1, wherein the antibody is selected from the group consisting of an anti-HER2 antibody, an anti-CD30 antibody, an anti-CD56 antibody, and an anti-GPNMB (glycoprotein NMB) antibody. 13. The antibody-drug conjugate of claim 12, wherein the antibody is selected from the group consisting of Trastuzumab, Lorvotuzumab, Brentuximab, and Glembatumumab. 14. An antibody-drug conjugate comprising an immunosuppressive agent conjugated to the N-terminal amino acid residue of the heavy chain or light chain of an antibody. 15. A method for preparing the antibody-drug conjugate of claim 1, the method comprising conjugating the cytotoxic drug or the immunosuppressive agent to the N-terminal _-amine group of the heavy chain or light chain of the antibody, by allowing an antibody to react with a cytotoxic drug or an immunosuppressive agent containing a reactive group capable of crosslinking with an _-amine group. 16. The method of claim 15, further comprising separating the antibody-drug conjugate from a reaction product including the antibody and the cytotoxic drug or the immunosuppressive agent, in which the conjugate is not formed. 17. The method of claim 15, wherein the reactive group capable of crosslinking with the _-amine group is selected from the group consisting of isothiocyanate, isocyanate, acyl azide, NHS ester, sulfonyl chloride, aldehyde, glyoxal, epoxide, oxirane, carbonate, aryl halide, imidoester, carbodiimide, anhydride, and fluorophenyl ester. 18. A pharmaceutical composition for treating cancer, which comprises the antibody-drug conjugate of claim 1. 19. A pharmaceutical composition for treating autoimmune disease, which comprises the antibody-drug conjugate of claim 14. 20. A method for treating cancer, which comprises administering the antibody-drug conjugate of claim 1 to a subject suspected of having cancer. 21. A method for treating autoimmune disease, comprising administering the antibody-drug conjugate of claim 14 to a subject suspected of having autoimmune disease."
084-986-690-232-010,ANTI-4-1BB ANTIBODY AND USE THEREOF,"Provided is an anti-4-1 BB antibody or an antigen-binding fragment thereof, and uses thereof.","1. An anti-4-1BB antibody or an antigen-binding fragment thereof comprising: a CDR (complementarity determining region)-H1 comprising an amino acid sequence of SEQ ID NO: 1, 2, or 3; a CDR-H2 comprising an amino acid sequence of SEQ ID NO: 4, 5, or 6; a CDR-H3 comprising an amino acid sequence of SEQ ID NO: 7, 8, 9, 10, or 11; a CDR-L1 comprising an amino acid sequence of SEQ ID NO: 12 or 13; a CDR-L2 comprising an amino acid sequence of SEQ ID NO: 14 or 15; and a CDR-L3 comprising an amino acid sequence of SEQ ID NO: 16 or 17. 2. The anti-4-1BB antibody or an antigen-binding fragment thereof according to claim 1, comprising: (a) a CDR-H1 of SEQ ID NO: 1, a CDR-H2 of SEQ ID NO: 4, a CDR-H3 of SEQ ID NO: 7, a VL CDR1 of SEQ ID NO: 12, a VL CDR2 of SEQ ID NO: 14, and a VL CDR3 of SEQ ID NO: 16; (b) a CDR-H1 of SEQ ID NO: 1, a CDR-H2 of SEQ ID NO: 4, a CDR-H3 of SEQ ID NO: 8, a VL CDR1 of SEQ ID NO: 12, a VL CDR2 of SEQ ID NO: 14, and a VL CDR3 of SEQ ID NO: 16; (c) a CDR-H1 of SEQ ID NO: 1, a CDR-H2 of SEQ ID NO: 4, a CDR-H3 of SEQ ID NO: 9, a VL CDR1 of SEQ ID NO: 12, a VL CDR2 of SEQ ID NO: 14, and a VL CDR3 of SEQ ID NO: 16; (d) a CDR-H1 of SEQ ID NO: 2, a CDR-H2 of SEQ ID NO: 5, a CDR-H3 of SEQ ID NO: 10, a VL CDR1 of SEQ ID NO: 12, a VL CDR2 of SEQ ID NO: 14, and a VL CDR3 of SEQ ID NO: 16; or (e) a CDR-H1 of SEQ ID NO: 3, a CDR-H2 of SEQ ID NO: 6, a CDR-H3 of SEQ ID NO: 11, a VL CDR1 of SEQ ID NO: 13, a VL CDR2 of SEQ ID NO: 15, and a VL CDR3 of SEQ ID NO: 17. 3. The anti-4-1BB antibody or an antigen-binding fragment thereof according to claim 1, comprising: (1) a heavy chain variable region comprising a polypeptide comprising an amino acid sequence selected from the group consisting of SEQ ID NOS: 18, 19, 20, 21, 22, 23, 39, 57, 58, 59, and 60; and (2) a light chain variable region comprising a polypeptide comprising an amino acid sequence selected from the group consisting of SEQ ID NOS: 24, 25, 26, 61, and 62. 4. The anti-4-1BB antibody or an antigen-binding fragment thereof according to claim 1, comprising: (1) a heavy chain comprising a polypeptide comprising an amino acid sequence selected from the group consisting of SEQ ID NOS: 27, 28, 29, 30, 31, and 32; and (2) a light chain comprising a polypeptide comprising an amino acid sequence selected from the group consisting of SEQ ID NOS: 33, 34, and 35. 5-7. (canceled) 8. A polynucleotide encoding the anti-4-1BB antibody or an antigen-binding fragment thereof according to claim 1. 9. (canceled) 12. A method of treating or preventing a cancer in a subject, comprising administering the anti-4-1BB antibody or an antigen-binding fragment thereof according to claim 1 to the subject. 13. A method of enhancing immune response in a subject comprising administering the anti-4-1BB antibody or an antigen-binding fragment thereof according to claim 1 to the subject. 14. The method of claim 13, wherein the enhancing immune response is 4-1BB signal activation, T-cell activation, or both of them."
